id,opt,code,nfeval,min,elapsed
AS,LN_SBPLX,FTOL_REACHED,50,-5.710123089738737,0.000812933
AT,LN_BOBYQA,FTOL_REACHED,21,170.66251956443105,0.000455265
AT,LN_COBYLA,FTOL_REACHED,26,170.66251956445836,0.000474232
AT,LN_NELDERMEAD,FTOL_REACHED,28,170.662519654748,0.000426955
AT,LN_PRAXIS,MAXEVAL_REACHED,100000,170.66251956441775,1.322770015
AT,LN_SBPLX,FTOL_REACHED,49,170.66251956445836,0.000745415
AU,LN_BOBYQA,FTOL_REACHED,14,49.47902730353064,0.00033534
AU,LN_COBYLA,FTOL_REACHED,26,49.479027303706715,0.00046872
AU,LN_NELDERMEAD,FTOL_REACHED,30,49.47902730981349,0.000492683
AU,LN_PRAXIS,MAXEVAL_REACHED,100000,49.479027303530536,1.388975832
AU,LN_SBPLX,FTOL_REACHED,50,49.479027303706715,0.000801608
AV,LN_BOBYQA,FTOL_REACHED,113,1313.3536154679687,0.037068134
AV,LN_COBYLA,FTOL_REACHED,3307,1313.3536180937672,0.450931086
AV,LN_NELDERMEAD,FTOL_REACHED,158,1313.3536154727058,0.021617469
AV,LN_PRAXIS,FTOL_REACHED,157,1313.3536154588624,0.021925677
AV,LN_SBPLX,FTOL_REACHED,231,1313.3536154733479,0.032741179
AW,LN_BOBYQA,FTOL_REACHED,13,162.87303665382578,0.000276759
AW,LN_COBYLA,FTOL_REACHED,20,162.87303665382578,0.000363887
AW,LN_NELDERMEAD,XTOL_REACHED,4,162.87303665382578,9.6185e-5
AW,LN_PRAXIS,MAXEVAL_REACHED,99983,162.87303665382578,1.268687999
AW,LN_SBPLX,FTOL_REACHED,12,162.87303665382578,0.000264038
AX,LN_BOBYQA,FTOL_REACHED,32,157869.9261493236,0.005554189
AX,LN_COBYLA,FTOL_REACHED,78,157869.926149323,0.012645655
AX,LN_NELDERMEAD,FTOL_REACHED,85,157869.92614943252,0.013520125
AX,LN_PRAXIS,FTOL_REACHED,68,157869.9261493198,0.012902347
AX,LN_SBPLX,FTOL_REACHED,123,157869.92614933616,0.020794413
AY,LN_BOBYQA,FTOL_REACHED,31,141685.56021410332,0.005619077
AY,LN_COBYLA,FTOL_REACHED,96,141685.56021410666,0.018505954
AY,LN_NELDERMEAD,FTOL_REACHED,91,141685.56021413032,0.017334369
AY,LN_PRAXIS,FTOL_REACHED,114,141685.56021410297,0.020323489
AY,LN_SBPLX,FTOL_REACHED,111,141685.56021411577,0.024400076
AZ,LN_BOBYQA,FTOL_REACHED,15,6.478085681327062,0.000418072
AZ,LN_COBYLA,FTOL_REACHED,43,6.478085672861544,0.000884159
AZ,LN_NELDERMEAD,FTOL_REACHED,59,6.478085675858328,0.001152267
AZ,LN_PRAXIS,FTOL_REACHED,69,6.478085672024825,0.001343482
AZ,LN_SBPLX,FTOL_REACHED,94,6.478085672790725,0.001812546
